2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 1
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 1 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 1
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 2 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 2
2021-08-16 11:49:15.461 INFO  [12530625] [*SEAL::Client::left_rotate@395] Doing left rotating
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 1 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 1
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 2 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 2
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 1 to the Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 1
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 2 to the Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 2
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::insert@299] Inserting 4
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 2 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 2
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 3 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 3
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@165] Insert a new node 4 into cache
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 3 to the Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 3
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 3 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 3
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 2 to the Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 2
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 2 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 2
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::insert@299] Inserting 5
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 2 from Oblivious Data Structure
